state,county,tract,block group,NAME,B01001_001E,B01001_020E,B01001_021E,B01001_022E,B01001_023E,B01001_024E,B01001_025E,B01001_044E,B01001_045E,B01001_046E,B01001_047E,B01001_048E,B01001_049E
53,033,022606,1,"Block Group 1, Census Tract 226.06, King County, Washington",1485,34,0,14,15,0,0,0,0,30,0,17,33
53,033,024400,1,"Block Group 1, Census Tract 244, King County, Washington",1216,15,10,43,34,23,81,1,18,46,51,51,148
53,033,026001,3,"Block Group 3, Census Tract 260.01, King County, Washington",950,9,28,20,0,8,0,14,28,49,9,0,0
53,033,026001,4,"Block Group 4, Census Tract 260.01, King County, Washington",950,8,0,10,15,24,0,24,13,51,18,0,0
53,033,030401,5,"Block Group 5, Census Tract 304.01, King County, Washington",1953,0,49,10,55,0,0,0,0,56,0,0,0
53,033,030401,4,"Block Group 4, Census Tract 304.01, King County, Washington",1327,0,0,14,0,13,0,13,0,0,1,13,3
53,033,031205,1,"Block Group 1, Census Tract 312.05, King County, Washington",3458,0,0,37,29,0,0,46,14,23,55,0,0
53,033,031205,2,"Block Group 2, Census Tract 312.05, King County, Washington",2163,0,6,0,0,14,39,20,6,0,39,68,0
53,033,031205,3,"Block Group 3, Census Tract 312.05, King County, Washington",2749,34,41,58,12,0,0,24,6,28,25,0,0
53,033,031601,1,"Block Group 1, Census Tract 316.01, King County, Washington",2053,21,30,37,21,0,0,0,8,32,8,11,0
53,033,002600,4,"Block Group 4, Census Tract 26, King County, Washington",1115,0,0,9,0,0,0,0,0,20,9,0,0
53,033,002600,3,"Block Group 3, Census Tract 26, King County, Washington",1576,0,42,8,0,16,0,0,16,10,0,0,19
53,033,002600,2,"Block Group 2, Census Tract 26, King County, Washington",1579,56,9,42,7,1,18,15,24,0,0,0,10
53,033,002600,1,"Block Group 1, Census Tract 26, King County, Washington",1107,23,0,25,16,0,0,8,40,0,11,0,0
53,033,004500,1,"Block Group 1, Census Tract 45, King County, Washington",1508,19,10,11,0,0,0,2,34,13,0,7,0
53,033,004500,2,"Block Group 2, Census Tract 45, King County, Washington",1880,0,0,17,0,8,14,0,9,48,0,10,0
53,033,004700,4,"Block Group 4, Census Tract 47, King County, Washington",3603,0,52,18,0,0,24,0,0,165,25,30,117
53,033,004700,3,"Block Group 3, Census Tract 47, King County, Washington",3404,0,20,46,0,0,0,0,64,25,97,28,0
53,033,004700,2,"Block Group 2, Census Tract 47, King County, Washington",2106,0,0,0,20,0,0,25,0,21,29,31,0
53,033,005100,2,"Block Group 2, Census Tract 51, King County, Washington",1228,20,41,21,14,0,0,31,20,47,9,0,0
53,033,006700,3,"Block Group 3, Census Tract 67, King County, Washington",1960,0,0,55,39,0,42,0,25,0,38,42,0
53,033,006700,2,"Block Group 2, Census Tract 67, King County, Washington",2465,109,0,34,0,0,93,0,24,0,0,0,72
53,033,010100,3,"Block Group 3, Census Tract 101, King County, Washington",1967,0,0,0,0,0,0,0,12,0,24,0,18
